工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
JAVA应用研发工程师,,https://jobs.51job.com/beijing/125515132.html?s=01&t=0,网联清算有限公司,https://jobs.51job.com/all/co6064061.html,北京,国企,金融/投资/证券,,,,2020-09-16 11:21:33
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-sjsq/121442873.html?s=01&t=0,石家庄辅良电子科技有限公司,https://jobs.51job.com/all/co2784254.html,北京-石景山区,民营公司,计算机软件,50-150人,周末双休 团队氛围优 五险一金,5,2020-09-16 11:21:05
Java开发工程师（高级）,1.8-2万/月,https://jobs.51job.com/beijing-hdq/119896726.html?s=01&t=0,中海银河科技（北京）有限公司,https://jobs.51job.com/all/co5716064.html,北京-海淀区,国企,互联网/电子商务,50-150人,,6,2020-09-16 11:17:19
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/89174688.html?s=01&t=0,北京四海盈科信息技术有限公司,https://jobs.51job.com/all/co4286998.html,北京-海淀区,民营公司,计算机软件,少于50人,,5,2020-09-16 10:57:33
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/125514209.html?s=01&t=0,郑州一迅软件科技有限公司,https://jobs.51job.com/all/co3000647.html,北京,民营公司,计算机软件,50-150人,五险一金 年终奖金,4,2020-09-16 10:52:13
运维技术顾问-JAVA(J10498),0.8-1万/月,https://jobs.51job.com/beijing/125517885.html?s=01&t=0,上海汉得信息技术股份有限公司,https://jobs.51job.com/all/co108418.html,北京,上市公司,计算机软件,10000人以上,五险一金 补充医疗保险 补充公积金 定期体检 年终奖金 股票期权,3,2020-09-16 10:45:50
Java开发工程师,1.2-2万/月,https://jobs.51job.com/beijing-xcq/125517037.html?s=01&t=0,北京汇才卓远科技有限公司,https://jobs.51job.com/all/co6046148.html,北京-西城区,民营公司,计算机软件,50-150人,,6,2020-09-16 10:41:33
Java高级开发工程师,1-1.8万/月,https://jobs.51job.com/beijing-ftq/121126323.html?s=01&t=0,北京钱林恒兴科技股份有限公司,https://jobs.51job.com/all/co4272920.html,北京-丰台区,民营公司,计算机硬件,150-500人,五险一金 通讯补贴 周末双休 出国机会 做五休二 带薪年假 节日福利 绩效奖金,5,2020-09-16 10:40:36
中高级java开发工程师（银行驻场）(J10803),1.3-2万/月,https://jobs.51job.com/beijing/123816034.html?s=01&t=0,亚联(天津)信息技术有限责任公司北京分公司,https://jobs.51job.com/all/co5771237.html,北京,民营公司,计算机软件,500-1000人,五险一金 餐饮补贴 绩效奖金 通讯补贴 年终奖金 定期体检,5,2020-09-16 10:30:41
Java开发工程师,1.2-1.6万/月,https://jobs.51job.com/beijing-hdq/125515534.html?s=01&t=0,北京易阳乐动信息技术有限公司,https://jobs.51job.com/all/co5722611.html,北京-海淀区,民营公司,计算机软件,150-500人,,5,2020-09-16 10:20:58
Java高级开发工程师,0.8-1万/月,https://jobs.51job.com/beijing/122771392.html?s=01&t=0,北京美髯公科技发展有限公司,https://jobs.51job.com/all/co126231.html,北京,民营公司,计算机软件,50-150人,绩效奖金 五险一金 周末双休 餐饮补贴 通讯补贴,5,2020-09-16 10:16:39
java开发工程师,0.7-1.4万/月,https://jobs.51job.com/beijing/125515296.html?s=01&t=0,北京东华瑞企软件有限公司,https://jobs.51job.com/all/co3244972.html,北京,民营公司,计算机软件,少于50人,,3,2020-09-16 10:14:19
JAVA开发工程师（信息技术）,1.5-2万/月,https://jobs.51job.com/beijing-cyq/125513618.html?s=01&t=0,中科软科技股份有限公司,https://jobs.51job.com/all/co6085125.html,北京-朝阳区,国企,计算机软件,10000人以上,,6,2020-09-16 10:04:26
Java高级开发工程师,1.5-2.5万/月,https://jobs.51job.com/beijing-cyq/113797954.html?s=01&t=0,北京唯贤营销科技有限公司,https://jobs.51job.com/all/co4673297.html,北京-朝阳区,民营公司,专业服务(咨询、人力资源、财会),150-500人,五险一金 补充医疗保险 年终奖金,6,2020-09-16 09:54:01
初级Java,6-8千/月,https://jobs.51job.com/beijing-hdq/123186802.html?s=01&t=0,中视士德数据科技（北京）有限公司,https://jobs.51job.com/all/co5890197.html,北京-海淀区,民营公司,专业服务(咨询、人力资源、财会),50-150人,五险一金 交通补贴 餐饮补贴 通讯补贴,4,2020-09-16 09:37:42
Java开发工程师,1.5-2.3万/月,https://jobs.51job.com/shanghai-pdxq/125511582.html?s=01&t=0,上海哈蜂信息科技有限公司,https://jobs.51job.com/all/co5461927.html,异地招聘,民营公司,计算机软件,50-150人,五险一金 通讯补贴 带薪年假 餐饮补贴 定期体检,5,2020-09-16 09:32:01
Java开发工程师,1.2-2万/月,https://jobs.51job.com/beijing-cyq/123942173.html?s=01&t=0,北京博纳通科技有限公司,https://jobs.51job.com/all/co3282790.html,北京-朝阳区,民营公司,计算机软件,50-150人,,5,2020-09-16 09:27:54
高级java开发工程师 (MJ003330),2.2-3万/月,https://jobs.51job.com/beijing/125510947.html?s=01&t=0,广联达,https://jobs.51job.com/all/co2220020.html,北京,上市公司,计算机软件,5000-10000人,,6,2020-09-16 09:23:00
Java高级开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-cyq/119624486.html?s=01&t=0,深圳市赢和信息技术有限公司,https://jobs.51job.com/all/co5736582.html,北京-朝阳区,民营公司,计算机软件,50-150人,,5,2020-09-16 09:10:03
Java开发工程师（全渠道运营中心）,,https://jobs.51job.com/beijing/124380108.html?s=01&t=0,公司总部,https://jobs.51job.com/all/co5997303.html,北京,国企,通信/电信运营、增值服务,,,,2020-09-16 05:24:20
实习JAVA/PHP开发,0.8-1万/月,https://jobs.51job.com/beijing/123164870.html?s=01&t=0,北京九识佳科技有限公司,https://jobs.51job.com/all/co5935224.html,北京,民营公司,互联网/电子商务,,,1,2020-09-16 05:19:09
