工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
Java开发工程师（铁科院),1-2.5万/月,https://jobs.51job.com/beijing-hdq/124996341.html?s=01&t=0,北京中兴瑞普科技有限公司,https://jobs.51job.com/all/co4617129.html,北京-海淀区,民营公司,计算机软件,50-150人,五险一金 弹性工作 交通补贴 餐饮补贴,5,2020-09-15 18:47:56
JAVA开发工程师,1.5-3万/月,https://jobs.51job.com/beijing-dxq/118488078.html?s=01&t=0,北京利和制药有限公司,https://jobs.51job.com/all/co3190844.html,北京-大兴区,民营公司,制药/生物工程,500-1000人,五险一金 绩效奖金 发展空间 员工旅游 交通补贴 餐饮补贴 专业培训 股票期权 定期体检 通讯补贴,,2020-09-15 18:21:53
Java游戏服务器端开发/主程,30-50万/年,https://jobs.51job.com/beijing-hdq/120738690.html?s=01&t=0,湛熙企业管理咨询（上海）有限公司,https://jobs.51job.com/all/co5030944.html,北京-海淀区,民营公司,专业服务(咨询、人力资源、财会),50-150人,绩效奖金 五险一金 年终奖金 股票期权 员工旅游,6,2020-09-15 18:14:24
百度智能云-Java开发工程师,1.5-2.5万/月,https://jobs.51job.com/beijing/118403559.html?s=01&t=0,百度在线网络技术（北京）有限公司,https://jobs.51job.com/all/co112266.html,北京,外资（欧美）,互联网/电子商务,500-1000人,,5,2020-09-15 18:00:08
Java开发工程师-帝派,1-1.8万/月,https://jobs.51job.com/beijing/99323282.html?s=01&t=0,北京神州泰岳软件股份有限公司,https://jobs.51job.com/all/co642236.html,北京,上市公司,计算机软件,1000-5000人,五险一金 餐饮补贴 年终奖金 定期体检 弹性工作,5,2020-09-15 17:53:28
Java开发工程师,1-1.5万/月,https://jobs.51job.com/tianjin-nkq/122466393.html?s=01&t=0,常州网拍天下网络科技有限公司,https://jobs.51job.com/all/co5395881.html,异地招聘,民营公司,互联网/电子商务,少于50人,,5,2020-09-15 17:53:06
Java开发高级工程师,2-2.5万/月,https://jobs.51job.com/beijing/124238741.html?s=01&t=0,瞬联软件科技（北京）有限公司 CIeNET Technologies,https://jobs.51job.com/all/co111126.html,北京,外资（欧美）,计算机软件,1000-5000人,周末双休 带薪年假 五险一金 弹性工作,6,2020-09-15 17:47:37
中高级JAVA开发工程师,1.2-1.5万/月,https://jobs.51job.com/beijing-cyq/103645344.html?s=01&t=0,云计划软件科技（上海）有限公司,https://jobs.51job.com/all/co2720339.html,北京-朝阳区,合资,计算机软件,150-500人,年终奖金 定期体检 员工旅游 五险一金 绩效奖金,5,2020-09-15 17:43:16
Java开发工程师,0.8-1.5万/月,https://jobs.51job.com/beijing/118554751.html?s=01&t=0,北京节点通网络技术有限公司,https://jobs.51job.com/all/co224006.html,北京,民营公司,通信/电信/网络设备,50-150人,五险一金 补充医疗保险 员工旅游 绩效奖金 定期体检 通讯补贴 年终奖金 周末双休,6,2020-09-15 17:34:50
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/123491836.html?s=01&t=0,汉王科技股份有限公司,https://jobs.51job.com/all/co101517.html,北京-海淀区,民营公司,计算机软件,500-1000人,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,5,2020-09-15 17:34:16
Java软件研发工程师（北京）,1-1.8万/月,https://jobs.51job.com/beijing-cyq/122688744.html?s=01&t=0,上海华讯网络系统有限公司,https://jobs.51job.com/all/co119769.html,北京-朝阳区,国企,计算机服务(系统、数据服务、维修),1000-5000人,五险一金 补充医疗保险 补充公积金 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,5,2020-09-15 17:24:00
java工程师,1.5-3万/月,https://jobs.51job.com/beijing-cyq/124319271.html?s=01&t=0,理想汽车,https://jobs.51job.com/all/co3978949.html,北京-朝阳区,民营公司,汽车,1000-5000人,五险一金 弹性工作 定期体检 专业培训 公司前景好 领导有魅力 现代化办公 工作环境好 福利待遇好,5,2020-09-15 17:17:24
java软件研发岗,1.5-2万/月,https://jobs.51job.com/beijing-cyq/125319564.html?s=01&t=0,中智薪税技术服务有限公司,https://jobs.51job.com/all/co3706717.html,北京-朝阳区,国企,专业服务(咨询、人力资源、财会),50-150人,五险一金,6,2020-09-15 17:16:08
Java开发工程师,0.8-1万/月,https://jobs.51job.com/beijing/120047961.html?s=01&t=0,上海占域实业有限公司,https://jobs.51job.com/all/co4477690.html,北京,合资,计算机软件,150-500人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 出国机会,10,2020-09-15 17:14:22
Java开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-dxq/124397694.html?s=01&t=0,中企信诚(北京)防伪技术有限公司,https://jobs.51job.com/all/co2517163.html,北京-大兴区,民营公司,印刷/包装/造纸,50-150人,,5,2020-09-15 17:12:08
Java高级开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-xcq/124572519.html?s=01&t=0,北京海峰科技有限责任公司,https://jobs.51job.com/all/co3698454.html,北京-西城区,民营公司,金融/投资/证券,50-150人,五险一金 员工旅游 专业培训 定期体检,5,2020-09-15 17:09:04
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/121211519.html?s=01&t=0,上海上大鼎正软件股份有限公司,https://jobs.51job.com/all/co878751.html,北京-海淀区,民营公司,通信/电信/网络设备,50-150人,五险一金 周末双休 年终奖金 专业培训 做五休二,5,2020-09-15 17:07:48
Java开发,1-1.5万/月,https://jobs.51job.com/beijing/121933494.html?s=01&t=0,文思海辉技术有限公司Pactera Technology International Limited,https://jobs.51job.com/all/co2204116.html,北京,外资（欧美）,计算机软件,10000人以上,,5,2020-09-15 17:00:05
java高级软件工程师,1.5-2.5万/月,https://jobs.51job.com/beijing-ftq/118964934.html?s=01&t=0,中电通途（北京）科技有限公司,https://jobs.51job.com/all/co3609541.html,北京-丰台区,民营公司,计算机软件,50-150人,五险一金 绩效奖金 定期体检 通讯补贴 餐饮补贴 交通补贴 弹性工作,6,2020-09-15 17:00:01
Java中级开发工程师,1.2-1.8万/月,https://jobs.51job.com/beijing-hrq/125135782.html?s=01&t=0,甘棠软件系统（上海）有限公司,https://jobs.51job.com/all/co3786664.html,北京-怀柔区,民营公司,计算机软件,50-150人,定期体检 五险一金 餐饮补贴 员工旅游 交通补贴 专业培训 年终奖金 通讯补贴,3,2020-09-15 16:59:31
JAVA开发工程师-北京,1-2万/月,https://jobs.51job.com/beijing-xcq/119900176.html?s=01&t=0,中电福富信息科技有限公司,https://jobs.51job.com/all/co370099.html,北京-西城区,国企,计算机软件,1000-5000人,五险一金 餐饮补贴 定期体检 年终奖金,5,2020-09-15 16:53:45
JAVA工程师/系统架构工程师,3-3.7万/月,https://jobs.51job.com/beijing-cyq/112009661.html?s=01&t=0,北京龙寰科技有限公司,https://jobs.51job.com/all/co3169406.html,北京-朝阳区,民营公司,计算机软件,50-150人,周末双休 五险一金 绩效奖金 通讯补贴,10,2020-09-15 16:52:17
java开发（北京）,0.8-1.5万/月,https://jobs.51job.com/beijing-hdq/117739938.html?s=01&t=0,南京华飞数据技术有限公司,https://jobs.51job.com/all/co3820616.html,北京-海淀区,民营公司,计算机软件,150-500人,五险一金 餐饮补贴 定期体检 交通补贴 绩效奖金 年终奖金 周末双休 补充医疗保险 通讯补贴,4,2020-09-15 16:46:30
Java开发工程师（北京）,1.2-2万/月,https://jobs.51job.com/beijing-hdq/121831042.html?s=01&t=0,上海文景信息科技有限公司,https://jobs.51job.com/all/co3305978.html,北京-海淀区,民营公司,计算机软件,50-150人,五险一金 餐饮补贴 年终奖金,3,2020-09-15 16:43:24
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-cpq/125244305.html?s=01&t=0,北京聘多多科技有限公司,https://jobs.51job.com/all/co6012010.html,北京-昌平区,民营公司,互联网/电子商务,少于50人,,5,2020-09-15 16:21:42
Java开发工程师(J21096),1.5-2万/月,https://jobs.51job.com/beijing-hdq/124690633.html?s=01&t=0,携程集团,https://jobs.51job.com/all/co5783320.html,北京-海淀区,民营公司,互联网/电子商务,10000人以上,五险一金 餐饮补贴 绩效奖金 周末双休,5,2020-09-15 16:21:01
JAVA开发工程师（北京）,1-2万/月,https://jobs.51job.com/beijing/115006971.html?s=01&t=0,上海才扬软件科技有限公司,https://jobs.51job.com/all/co2532027.html,北京,民营公司,计算机软件,150-500人,五险一金 绩效奖金 餐饮补贴 弹性工作 年终奖金 专业培训,,2020-09-15 16:19:37
JAVA中高级开发工程师（外部招聘）,24-30万/年,https://jobs.51job.com/beijing-syq/124255362.html?s=01&t=0,鸿讯供应链科技有限公司,https://jobs.51job.com/all/co3745179.html,北京-顺义区,国企,交通/运输/物流,150-500人,带薪年假 五险一金 绩效奖金 高温补贴 加班补贴 节日福利 定期体检 住房补贴 餐饮补贴,3,2020-09-15 16:02:41
智能硬件部- 高级Java服务器端工程师,2-4万/月,https://jobs.51job.com/beijing-hdq/125292310.html?s=01&t=0,小米通讯技术有限公司,https://jobs.51job.com/all/co2449752.html,北京-海淀区,民营公司,通信/电信运营、增值服务,10000人以上,五险一金 交通补贴 餐饮补贴 年终奖金,6,2020-09-15 15:47:06
JAVA开发经理,1-2万/月,https://jobs.51job.com/beijing-cyq/121628247.html?s=01&t=0,北京居家科技有限公司,https://jobs.51job.com/all/co3531374.html,北京-朝阳区,民营公司,计算机软件,50-150人,五险 年终奖金,5,2020-09-15 15:33:06
JAVA开发工程师,1.5-3万/月,https://jobs.51job.com/beijing-cyq/125342128.html?s=01&t=0,上海聚均科技有限公司,https://jobs.51job.com/all/co5307579.html,北京-朝阳区,民营公司,多元化业务集团公司,50-150人,五险一金 带薪年假 领导好 补充医疗保险 餐饮补贴 绩效奖金 年终奖金 股票期权,5,2020-09-15 15:23:03
Java开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-xcq/118921987.html?s=01&t=0,合肥英泽信息科技有限公司,https://jobs.51job.com/all/co2908814.html,北京-西城区,民营公司,计算机软件,150-500人,五险一金 周末双休 员工旅游,5,2020-09-15 15:17:55
Java开发工程师,1-1.5万/月,https://jobs.51job.com/xian/119890704.html?s=01&t=0,北京能科瑞元数字技术有限公司,https://jobs.51job.com/all/co5036577.html,异地招聘,民营公司,计算机软件,150-500人,五险一金 补充医疗保险 通讯补贴 餐饮补贴 交通补贴 取暖补贴 防暑降温补贴 节日补贴,6,2020-09-15 14:56:23
Java开发工程师,0.8-1.2万/月,https://jobs.51job.com/beijing-hdq/103181506.html?s=01&t=0,吉贝克信息技术有限公司,https://jobs.51job.com/all/co187952.html,北京-海淀区,外资（欧美）,计算机软件,500-1000人,五险一金 通讯补贴,4,2020-09-15 14:56:19
Java开发工程师,0.8-1.5万/月,https://jobs.51job.com/beijing-syq/108601568.html?s=01&t=0,北京天创征腾信息科技有限公司,https://jobs.51job.com/all/co2379581.html,北京-顺义区,民营公司,计算机软件,50-150人,五险一金 绩效奖金 通讯补贴 餐饮补贴 弹性工作 交通补贴 年终奖金,4,2020-09-15 14:54:51
中级Java开发,1.5-2.5万/月,https://jobs.51job.com/beijing-dxq/123688589.html?s=01&t=0,北京明月软件技术有限公司,https://jobs.51job.com/all/co2238216.html,北京-大兴区,民营公司,计算机软件,150-500人,,5,2020-09-15 14:43:41
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/121211585.html?s=01&t=0,沈阳信诚计算机信息技术有限公司,https://jobs.51job.com/all/co3643034.html,北京,民营公司,计算机软件,少于50人,五险一金 年终奖金 定期体检 弹性工作,6,2020-09-15 14:43:31
Java开发工程师（涉诉）,15-25万/年,https://jobs.51job.com/beijing-sjsq/123272450.html?s=01&t=0,中国司法大数据研究院有限公司,https://jobs.51job.com/all/co4358530.html,北京-石景山区,国企,计算机软件,150-500人,五险一金 补充医疗保险 年终奖金 定期体检 通讯补贴 餐饮补贴 绩效奖金 交通补贴,5,2020-09-15 14:35:39
JAVA开发工程师 （信息化）,1-1.5万/月,https://jobs.51job.com/beijing-hdq/123966961.html?s=01&t=0,北京轩宇信息技术有限公司,https://jobs.51job.com/all/co3230662.html,北京-海淀区,国企,计算机软件,150-500人,餐饮补贴 五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,4,2020-09-15 14:21:06
JAVA 研发工程师,0.7-1万/月,https://jobs.51job.com/beijing-tzq/111784445.html?s=01&t=0,北京蓝天清科控股有限公司,https://jobs.51job.com/all/co5134458.html,北京-通州区,民营公司,生活服务,150-500人,,4,2020-09-15 14:19:23
JAVA开发工程师-北京-01301,1-1.5万/月,https://jobs.51job.com/beijing-hdq/123653996.html?s=01&t=0,任子行网络技术股份有限公司,https://jobs.51job.com/all/co270592.html,北京-海淀区,上市公司,计算机软件,1000-5000人,五险一金 带薪年假 周末双休,5,2020-09-15 14:16:32
Java高级开发工程师,2-2.5万/月,https://jobs.51job.com/beijing-xcq/123177445.html?s=01&t=0,广州奥格智能科技有限公司,https://jobs.51job.com/all/co215210.html,北京-西城区,民营公司,计算机软件,500-1000人,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训,6,2020-09-15 14:13:07
Java高级开发工程师,1.3-1.8万/月,https://jobs.51job.com/beijing-dxq/122717721.html?s=01&t=0,北京唯友信息科技有限公司,https://jobs.51job.com/all/co5908121.html,北京-大兴区,民营公司,计算机服务(系统、数据服务、维修),150-500人,,6,2020-09-15 14:12:01
Java开发工程师,1-2万/月,https://jobs.51job.com/beijing-ftq/120288413.html?s=01&t=0,深圳市长亮科技股份有限公司,https://jobs.51job.com/all/co290276.html,北京-丰台区,上市公司,计算机软件,1000-5000人,五险一金 餐饮补贴 通讯补贴 员工旅游 定期体检 股票期权 年终奖金 绩效奖金 弹性工作,3,2020-09-15 14:11:38
Java高级开发工程师（SDE）,1.5-2万/月,https://jobs.51job.com/beijing-cyq/125369687.html?s=01&t=0,龙湖集团地产,https://jobs.51job.com/all/co3531424.html,北京-朝阳区,民营公司,房地产,10000人以上,补充医疗保险 年终奖金 绩效奖金 弹性工作 定期体检 通讯补贴 餐饮补贴 专业培训 交通补贴,6,2020-09-15 14:05:57
Java架构师,2.5-3万/月,https://jobs.51job.com/beijing-dxq/120159044.html?s=01&t=0,上海网萌网络科技有限公司,https://jobs.51job.com/all/co3134178.html,北京-大兴区,合资,互联网/电子商务,1000-5000人,做五休二 周末双休 带薪年假 五险一金 节日福利 绩效奖金 股权激励 员工旅游 出国机会,6,2020-09-16 15:33:12
Java开发工程师,1.2-2.5万/月,https://jobs.51job.com/beijing-hdq/119217349.html?s=01&t=0,中国电子工程设计院有限公司,https://jobs.51job.com/all/co5552632.html,北京-海淀区,国企,房地产,150-500人,五险一金 定期体检 年终奖金,5,2020-09-15 13:50:18
检测工程师（JAVA、C#开发工程师）,1-1.5万/月,https://jobs.51job.com/beijing/109863640.html?s=01&t=0,北京鉴衡认证中心有限公司,https://jobs.51job.com/all/co1739874.html,北京,民营公司,检测，认证,150-500人,周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴 通讯补贴,7,2020-09-15 13:48:48
Java开发工程师-天维北京,0.8-1.5万/月,https://jobs.51job.com/changsha-ylq/122590477.html?s=01&t=0,国家无线电监测中心检测中心,https://jobs.51job.com/all/co2368574.html,异地招聘,事业单位,检测，认证,150-500人,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,5,2020-09-15 13:47:45
软件开发工程师（JAVA）,15-20万/年,https://jobs.51job.com/beijing/64283152.html?s=01&t=0,通用环球医疗集团有限公司,https://jobs.51job.com/all/co2982477.html,北京,国企,医疗/护理/卫生,500-1000人,五险一金 补充医疗保险 交通补贴 通讯补贴 年终奖金 定期体检 补充公积金 餐饮补贴,4,2020-09-15 13:46:21
Java中级工程师,11-21万/年,https://jobs.51job.com/beijing-cyq/123550352.html?s=01&t=0,永达理保险经纪有限公司,https://jobs.51job.com/all/co2616853.html,北京-朝阳区,合资,保险,1000-5000人,周末双休 带薪年假 五险一金 节日福利 员工旅游,4,2020-09-15 13:41:30
Java开发工程师,0.7-1万/月,https://jobs.51job.com/beijing-cyq/123636073.html?s=01&t=0,北京中科朗思信息技术有限公司,https://jobs.51job.com/all/co5752667.html,北京-朝阳区,民营公司,计算机软件,少于50人,员工旅游 年终奖金 定期体检 每月生日会 周末双休 七险一金 补充医疗保险,3,2020-09-15 13:36:28
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/124225231.html?s=01&t=0,上海润和信息技术服务有限公司,https://jobs.51job.com/all/co3370095.html,北京,上市公司,计算机软件,1000-5000人,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 定期体检,5,2020-09-15 13:34:52
高级Java工程师（北京）,1.5-3万/月,https://jobs.51job.com/beijing/120441832.html?s=01&t=0,天逸金融服务集团股份有限公司,https://jobs.51job.com/all/co2512604.html,北京,外资（非欧美）,金融/投资/证券,500-1000人,五险一金 年终奖金 项目奖金 出差补贴 专业培训 双休 不加班 带薪年假,6,2020-09-15 13:31:42
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/123425189.html?s=01&t=0,苏州安软信息科技有限公司,https://jobs.51job.com/all/co5854998.html,北京-海淀区,外资（欧美）,计算机软件,150-500人,,5,2020-09-15 13:14:35
Java开发专员,0.8-1万/月,https://jobs.51job.com/beijing-syq/122539589.html?s=01&t=0,北京复昌融资租赁有限公司,https://jobs.51job.com/all/co5667957.html,北京-顺义区,民营公司,租赁服务,50-150人,,3,2020-09-15 13:02:04
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-cyq/125208003.html?s=01&t=0,北京讯华科技有限公司,https://jobs.51job.com/all/co6064697.html,北京-朝阳区,民营公司,计算机软件,50-150人,五险一金 年终奖金,5,2020-09-15 13:01:02
中级Java工程师,1.5-2万/月,https://jobs.51job.com/beijing-dxq/113972472.html?s=01&t=0,中金智汇科技有限责任公司,https://jobs.51job.com/all/co4867594.html,北京-大兴区,民营公司,计算机软件,50-150人,五险一金 交通补贴 餐饮补贴 定期体检,6,2020-09-15 13:00:01
Java中级研发工程师,1.5-1.8万/月,https://jobs.51job.com/beijing/121117711.html?s=01&t=0,上海服保信息技术有限公司,https://jobs.51job.com/all/co3670323.html,北京,民营公司,互联网/电子商务,50-150人,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 年节福利 生日福利 年底双薪,5,2020-09-15 12:56:11
Java中级开发工程师,1.5-2.5万/月,https://jobs.51job.com/beijing/120809746.html?s=01&t=0,为朔医学数据科技(北京)有限公司,https://jobs.51job.com/all/co3616018.html,北京,民营公司,制药/生物工程,150-500人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 专业培训,6,2020-09-15 12:40:43
Java开发工程师,1-1.5万/月,https://jobs.51job.com/dalian-gxyq/122109262.html?s=01&t=0,大连华钦软件技术有限公司,https://jobs.51job.com/all/co5400670.html,异地招聘,民营公司,计算机软件,,,4,2020-09-15 12:31:04
Java开发工程师,3-4.5千/月,https://jobs.51job.com/beijing-cpq/125316988.html?s=01&t=0,北京大唐聆讯通讯设备有限公司,https://jobs.51job.com/all/co2826761.html,北京-昌平区,民营公司,通信/电信/网络设备,150-500人,绩效奖金 餐饮补贴 通讯补贴 交通补贴 五险一金,3,2020-09-15 11:49:37
高级JAVA工程师,1.5-2.8万/月,https://jobs.51job.com/beijing-cyq/117344689.html?s=01&t=0,北京泛鹏天地科技股份有限公司,https://jobs.51job.com/all/co2244311.html,北京-朝阳区,民营公司,计算机软件,500-1000人,五险一金 通讯补贴 交通补贴 年终奖金 绩效奖金 专业培训 餐饮补贴 定期体检,6,2020-09-15 11:47:43
Java开发工程师,0.6-1万/月,https://jobs.51job.com/beijing-hdq/100895989.html?s=01&t=0,中卓信（北京）科技有限公司,https://jobs.51job.com/all/co3870337.html,北京-海淀区,民营公司,计算机软件,50-150人,专业培训 出国机会 弹性工作 餐饮补贴 五险一金 周末双休 节日福利,4,2020-09-15 11:47:40
Java开发工程师,0.7-1.5万/月,https://jobs.51job.com/beijing-syq/112557628.html?s=01&t=0,北京贝泰科技有限公司,https://jobs.51job.com/all/co2976459.html,北京-顺义区,民营公司,医疗设备/器械,少于50人,五险一金 餐饮补贴 定期体检 免费班车 员工旅游 绩效奖金 交通补贴 补充医疗保险 年终奖金,,2020-09-15 11:46:36
Java开发工程师,1.5-2.3万/月,https://jobs.51job.com/beijing-hdq/117807068.html?s=01&t=0,北京蓝海讯通科技股份有限公司,https://jobs.51job.com/all/co2525189.html,北京-海淀区,民营公司,计算机软件,150-500人,绩效奖金 定期体检 带薪年假,5,2020-09-15 11:19:09
JAVA工程师G00015,0.6-1万/月,https://jobs.51job.com/beijing/114499856.html?s=01&t=0,北京淳中科技股份有限公司,https://jobs.51job.com/all/co2660858.html,北京,上市公司,电子技术/半导体/集成电路,500-1000人,五险一金 通讯补贴 绩效奖金 年终奖金 定期体检 弹性工作 免费班车,3,2020-09-15 11:18:06
Java全栈讲师,2.5-4万/月,https://jobs.51job.com/beijing-hdq/117273175.html?s=01&t=0,北京八维研修学院,https://jobs.51job.com/all/co252094.html,北京-海淀区,民营公司,计算机服务(系统、数据服务、维修),1000-5000人,五险一金 餐饮补贴 绩效奖金 住房补贴,6,2020-09-15 11:15:21
Java开发工程师,1.5-2.5万/月,https://jobs.51job.com/beijing-hdq/125408946.html?s=01&t=0,随锐科技集团股份有限公司,https://jobs.51job.com/all/co2052243.html,北京-海淀区,上市公司,计算机软件,150-500人,五险一金 餐饮补贴 弹性工作 定期体检,4,2020-09-15 11:13:35
高级Java开发工程师(J11594),1.5-2.2万/月,https://jobs.51job.com/beijing-hdq/124129869.html?s=01&t=0,朗新科技集团股份有限公司,https://jobs.51job.com/all/co2560454.html,北京-海淀区,合资,计算机软件,1000-5000人,五险一金 补充医疗保险 通讯补贴 定期体检 弹性工作 年终奖金 最高比公积金 6天年假 商业医疗保险 意外险,6,2020-09-15 11:12:41
Java开发经理,1.5-2.5万/月,https://jobs.51job.com/beijing-xcq/119340956.html?s=01&t=0,凯通科技股份有限公司,https://jobs.51job.com/all/co107556.html,北京-西城区,民营公司,计算机软件,150-500人,五险一金 补充医疗保险 免费班车 年终奖金 定期体检,6,2020-09-15 11:03:29
Java开发工程师(北京古城站）,1.5-1.7万/月,https://jobs.51job.com/beijing-sjsq/123705083.html?s=01&t=0,苏州种梦客网络科技有限公司,https://jobs.51job.com/all/co5949610.html,北京-石景山区,民营公司,计算机软件,少于50人,五险一金 节日福利,6,2020-09-15 11:01:04
Java开发工程师-微服务开发（本三2005）,1-1.7万/月,https://jobs.51job.com/beijing-hdq/125034427.html?s=01&t=0,北京南天软件有限公司,https://jobs.51job.com/all/co2481102.html,北京-海淀区,上市公司,计算机软件,1000-5000人,五险一金 专业培训 年终奖金 定期体检 工会福利 餐饮补贴,4,2020-09-15 11:00:45
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/121989317.html?s=01&t=0,北京才鼎通信息技术有限公司,https://jobs.51job.com/all/co3391927.html,北京-海淀区,民营公司,互联网/电子商务,少于50人,五险一金 弹性工作,5,2020-09-15 10:49:43
Java开发（北京顺义区）,0.6-1.2万/月,https://jobs.51job.com/beijing-syq/122633009.html?s=01&t=0,上海奥拓翰明计算机科技有限公司,https://jobs.51job.com/all/co688544.html,北京-顺义区,民营公司,计算机软件,50-150人,五险一金 餐饮补贴 员工旅游 定期体检,3,2020-09-15 10:48:05
高级JAVA 服务端开发工程师,2.5-3万/月,https://jobs.51job.com/beijing-hdq/122029539.html?s=01&t=0,苏州思必驰信息科技有限公司,https://jobs.51job.com/all/co2218676.html,北京-海淀区,民营公司,计算机软件,500-1000人,五险一金 餐饮补贴 弹性工作 定期体检 专业培训 员工旅游 年终奖金 免费班车,6,2020-09-15 10:43:17
软件开发JAVA/COBOL（日语）,1.5-3万/月,https://jobs.51job.com/dalian/112066701.html?s=01&t=0,大连滋德商务咨询有限公司,https://jobs.51job.com/all/co5430585.html,异地招聘,民营公司,专业服务(咨询、人力资源、财会),少于50人,,3,2020-09-15 10:39:31
Java架构师,2-4万/月,https://jobs.51job.com/beijing-hdq/125240238.html?s=01&t=0,中国软件与技术服务股份有限公司,https://jobs.51job.com/all/co150020.html,北京-海淀区,上市公司,计算机软件,5000-10000人,五险一金 补充医疗保险 通讯补贴 专业培训 定期体检 节日福利 餐饮补贴 年终奖金,6,2020-09-15 10:37:21
国企Java工程师,2-2.5万/月,https://jobs.51job.com/beijing-xcq/121678000.html?s=01&t=0,北京卓仕企业管理有限公司,https://jobs.51job.com/all/co5762829.html,北京-西城区,民营公司,专业服务(咨询、人力资源、财会),500-1000人,五险一金 过节费 项目奖金 定期体检,5,2020-09-15 10:36:09
Java开发工程师,0.8-1.5万/月,https://jobs.51job.com/beijing/123574303.html?s=01&t=0,云腾九州科技（北京）有限公司,https://jobs.51job.com/all/co2602117.html,北京,民营公司,通信/电信运营、增值服务,50-150人,五险一金 补充医疗保险 绩效奖金,3,2020-09-15 10:32:20
Java开发工程师,0.7-1.2万/月,https://jobs.51job.com/beijing-ftq/100437364.html?s=01&t=0,航天四创科技有限责任公司,https://jobs.51job.com/all/co4752154.html,北京-丰台区,国企,计算机服务(系统、数据服务、维修),150-500人,五险一金 绩效奖金 年终奖金 定期体检 工会福利 补充医疗保险 餐饮补贴 弹性工作 7.5小时工作 北京户口,4,2020-09-15 10:26:21
Java工程师（南京）,0.8-1.5万/月,https://jobs.51job.com/nanjing-yhtq/120026233.html?s=01&t=0,云和恩墨（北京）信息技术有限公司,https://jobs.51job.com/all/co2742222.html,异地招聘,民营公司,计算机服务(系统、数据服务、维修),150-500人,五险一金 周末双休 绩效奖金 节日福利 专业培训 通讯补贴 交通补贴 餐饮补贴 带薪年假,4,2020-09-15 10:19:56
Java高级开发工程师,1.5-2.5万/月,https://jobs.51job.com/beijing-hdq/124045335.html?s=01&t=0,上海索辰信息科技股份有限公司,https://jobs.51job.com/all/co3846285.html,北京-海淀区,民营公司,计算机软件,50-150人,五险一金 餐饮补贴 专业培训 弹性工作 通讯补贴 年终奖金,6,2020-09-15 10:17:35
Java高级开发工程师,1.5-2.5万/月,https://jobs.51job.com/beijing-cyq/112438944.html?s=01&t=0,易博国际旅行社（北京）有限公司,https://jobs.51job.com/all/co5316719.html,北京-朝阳区,民营公司,酒店/旅游,50-150人,带薪年假 五险一金 节日福利 年终奖金 周末双休,5,2020-09-15 10:15:04
Java工程师,1.5-1.8万/月,https://jobs.51job.com/beijing-hdq/124298659.html?s=01&t=0,上海彦亭企业管理中心,https://jobs.51job.com/all/co5913404.html,北京-海淀区,民营公司,专业服务(咨询、人力资源、财会),少于50人,五险 做五休二,5,2020-09-15 10:14:36
Java工程师（远程在线***）,1-1.5万/月,https://jobs.51job.com/shanghai-mhq/125134373.html?s=01&t=0,上海本原网络科技有限公司,https://jobs.51job.com/all/co6033389.html,异地招聘,民营公司,计算机软件,少于50人,弹性工作,5,2020-09-15 10:13:29
Java开发工程师,1-1.6万/月,https://jobs.51job.com/beijing-hdq/123346244.html?s=01&t=0,北京直真科技股份有限公司,https://jobs.51job.com/all/co318359.html,北京-海淀区,民营公司,通信/电信/网络设备,500-1000人,五险一金 周末双休 定期体检 通讯补贴,5,2020-09-15 10:13:04
Java高级开发工程师,2.5-3.5万/月,https://jobs.51job.com/beijing-dcq/125155635.html?s=01&t=0,世纪蜗牛通信科技有限公司,https://jobs.51job.com/all/co6059806.html,北京-东城区,民营公司,通信/电信/网络设备,150-500人,五险一金 绩效奖金 年终奖金 定期体检 员工旅游 出国机会,6,2020-09-15 10:10:41
